Sl. No,Street Name,Door No.,Water Quality,Pressure,Timing,Drainage Issue,Other
1,Basappa Road,,Contaminated,Low,4.00-6.00 a.m.,Yes,Blockage on Main Road
2,Basappa Road,#1/1,Contaminated,Good,4.00-6.00 a.m.,Yes,Outside Drainage Blockage
3,Basappa Road,#1/2,Contaminated,Low,4.00-6.00 a.m.,Yes,On the main road
4,Basappa Road,#3,Contaminated,Low,,Yes,Frequent Blockage
5,Basappa Road,#4/1,,Low,,Yes,Every 15 days
6,Basappa Road,#54/2,Contaminated,Low,,Yes,Frequent Blockage
7,Rangaswamy Compound,#21/2,Contaminated,Low,,Yes,Frequent Blockage - Using Bore-wells since 4 years
8,Basappa Road,#1/1,No Supply,No Supply,,Yes,Frequent Blockage
9,Rangaswamy Compound,#21,No Supply,No Supply,,Yes,Frequent Blockage
10,Basappa Road,#21,No Supply,No Supply,,Yes,Frequent Blockage
11,Basappa Road,#8/21,No Supply,No Supply,,Yes,Frequent Blockage - Past 4 years
12,Basappa Road,#11/21,No Supply,No Supply,,Yes,Frequent Blockage - Past 4 years
13,Basappa Road,,No Supply,No Supply,,Yes,Frequent Blockage - Past 4 years
14,Basappa Road,#10/21,No Supply,No Supply,,Yes,Frequent Blockage - Past 4 years
15,Basappa Road,#8/21,No Supply,No Supply, ,Yes,Frequent Blockage - Past 4 years
16,Basappa Road,,No Supply,No Supply,,Yes,Frequent Blockage - Past 4 years
17,Basappa Road,#3/1,Good,Good,,No,
18,Basappa Road,#52/2,Good,Good,,No,
19,Basappa Road,#52,Good,Good,4.00-6.00 a.m.,No,
20,Basappa Road,#10,Good,Good,5.00-7.00 a.m.,No,
21,Basappa Road,#51,Good,Good,5.00-7.00 a.m.,No,
22,Basappa Road,#50,Contaminated,Low,5.00-7.00 a.m.,No,
23,Basappa Road,#5,Contaminated,Low,4.00-7.00 a.m.,No,
24,Basappa Road,#49,Contaminated,Low,,,
25,Basappa Road,#38,Contaminated,Low,,,
26,Basappa Road,#48,Good,Good,,,
27,Basappa Road,#47,Good,Good,4.00-7.00 a.m.,,
28,Basappa Road,#7,,,,,
29,Basappa Road,#8,Contaminated,Low,,Disconnected,
30,Basappa Road,#9,,,,,
31,Basappa Road,#45/45,Contaminated,Low,,Disconnected,
32,Basappa Road,#10,,,,,
33,Basappa Road,#44,Contaminated,Low,4.00-7.00 a.m.,,
34,Basappa Road,#11,Contaminated,Low,,,
35,Basappa Road,#12,Contaminated,Low,5.00-7.00 am,,
36,Basappa Road,#17,Good,Low,5.00-7.00 am,,
37,Basappa Road,#6,Good,Low,5.00-7.00 am,,
38,Basappa Road,#42,Good,Good,5.00-7.00 am,,
39,Basappa Road,#43,Good,Low,4.30-7.00 am,,
40,Basappa Road,#18/1,Contaminated,low,5.00-7.00 am,,
41,Basappa Road,#41,Contaminated,Low,5.00-7.00 am,,
42,Basappa Road,#31,Contaminated,Low,,,
43,Basappa Road,#41,No Supply,No Supply,,,
44,Basappa Road,#14,Contaminated,Low,,,
45,Basappa Road,#15,Contaminated,Low,4.00-6.30 am,,
46,Basappa Road,#40,Contaminated,Low,,,
47,Basappa Road,#16,Contaminated,Low,,,
